vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade,latitude,longitude
05FB08,05FB,8,Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo,Parallelweg,,9,7161AE,NEEDE,Gelderland,BERKELLAND,1859,054-5477182,,False,,40310,Bijzonder,Achterhoek,Achterhoek,Twente,Midden,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1720.0,Large,286.6666666666667,52.1297362,6.6235372
26KR00,26KR,0,MaxX,Parallelweg,,5,7161AE,NEEDE,Gelderland,BERKELLAND,1859,054-5294145,,False,,42571,Openbaar,Achterhoek,Achterhoek,Twente,Midden,PRO,PRO,Dutch,True,False,False,False,False,False,1846.0,Large,307.6666666666667,52.1297362,6.6235372
26HU00,26HU,0,Accent Praktijkonderwijs,ds. Kuypersstraat,,1,3863CA,NIJKERK,Gelderland,NIJKERK,267,033-2458819,www.accentnijkerk.nl,True,,40180,Bijzonder,Veluwe,Eem en Vallei,Harderwijk-Amersfoort,Midden,PRO,PRO,Dutch,True,False,False,False,False,False,2349.0,Large,391.5,52.2106926,5.4680368
25GV09,25GV,9,Aeres VMBO Nijkerk,Luxoolseweg,,1,3862WH,NIJKERK,Gelderland,NIJKERK,267,088-0205900,www.aeres.nl,True,,40687,Bijzonder,Veluwe,Eem en Vallei,Harderwijk-Amersfoort,Midden,VBO,VMBO,Dutch,False,True,False,False,False,False,2803.0,Large,467.1666666666667,52.222218,5.5023473
02DC00,02DC,0,Corlaer College,ds. Kuypersstraat,,3-5,3863CA,NIJKERK,Gelderland,NIJKERK,267,033-4794040,www.corlaercollege.nl,True,,40180,Bijzonder,Veluwe,Eem en Vallei,Harderwijk-Amersfoort,Midden,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,5641.0,Very Large,940.1666666666666,52.2106926,5.4680368
02DC03,02DC,3,Corlaer College,Henri Nouwenstraat,,8,3863HV,NIJKERK,Gelderland,NIJKERK,267,033-2456434,www.corlaercollege.nl,True,,40180,Bijzonder,Veluwe,Eem en Vallei,Harderwijk-Amersfoort,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5274.0,Very Large,879.0,52.2097941,5.4657594
01VN00,01VN,0,Canisius College Lyceum Havo Mavo Vbo Lwoo,Berg en Dalseweg,,207,6522BK,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3816816,www.canisiuscollege.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,8377.0,Very Large,1396.1666666666667,51.8378739,5.8843136
01VN04,01VN,4,Canisius College Lyceum Havo Mavo Vbo Lwoo locatie Het Rijks VMBO-Campus,Goffertweg,,20,6532AA,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3523680,www.het-rijks.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,3544.0,Very Large,590.6666666666666,51.8284597,5.8388245
01VN03,01VN,3,Canisius College Lyceum Havo Mavo Vbo Lwoo locatie Pontem College,Heyendaalseweg,,45,6524SE,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3551033,www.pontemcollege.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,MAVO,MAVO,Dutch,False,False,True,False,False,False,998.0,Medium,166.33333333333334,51.8344543,5.8694726
02ST05,02ST,5,Jorismavo,Ploegstraat,,16,6532TV,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3235175,www.jorismavo.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,2193.0,Large,365.5,51.8304143,5.8405556
02ST00,02ST,0,Kandinsky College voor Lyceum Havo Mavo Vbo Lwoo,Malderburchtstraat,,11,6535ND,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3594422,www.kandinskycollege.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,9327.0,Very Large,1554.5,51.8067591,5.8372312
02ST06,02ST,6,Kandinsky College voor Lyceum Havo Mavo Vbo Lwoo,Hatertseweg,,404,6533GV,NIJMEGEN,Gelderland,NIJMEGEN,268,,,False,,41285,Overige,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,,Unknown,,51.8133712,5.8351409
21SK00,21SK,0,Mondial College,Leuvensbroek,,3001,6546TD,NIJMEGEN,Gelderland,NIJMEGEN,268,024-3786993,www.mondialcollege.nl,True,,41285,Openbaar,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5737.0,Very Large,956.1666666666666,51.8323993,5.780319
21SK01,21SK,1,Mondial College,De Meeuwse Acker,,2020,6546DZ,NIJMEGEN,Gelderland,NIJMEGEN,268,024-8200400,www.mondialcollege.nl,True,,41285,Openbaar,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO,VMBO,Dutch,False,True,False,False,False,False,4154.0,Very Large,692.3333333333334,51.8359479,5.797384
